"Parameter","MO_fing","YE_fing","MO_spring","YE_spring","MO_summer","YE_summer","Age"
"phi_fing",0.70113105307182,0.619764559890786,NA,NA,NA,NA,0
"phi_sp",NA,NA,0.9802458292055,0.969350090126028,NA,NA,0
"phi1",0.642101314707507,0.537323941917166,0.776064414701349,0.654958165181273,NA,NA,1
"phi_su",NA,NA,NA,NA,0.768733199419448,0.677553765156953,1
"phi2",0.685099830535649,0.588070096039152,0.79338130876839,0.675323281993603,0.770697817210772,0.675910335481867,2
"phi3",0.723458138516639,0.634591197291386,0.801566289686517,0.688275032627519,0.828973573293419,0.744955585183287,3
"phi4",0.757969182584843,0.677345456607663,0.709147327294387,0.61332191086735,0.809919826658743,0.735492126634531,4
"phi5",0.789746108423617,0.717202709929553,0.7224127465186,0.629092776453237,0.821735518495451,0.756424328338091,5
"phi6",0.817239131727122,0.752498476791948,0.735082384900916,0.645556671344416,0.851498828091838,0.795669108610684,6
"phi7",0.8416898340284,0.784764168600506,0.747454572772326,0.65882154114224,0.878377341846203,0.829839055177595,7
"phi8",0.862857829922469,0.812612790175285,0.760841285955964,0.676501678826571,0.896003813885611,0.857647353580931,8
"phi9",0.879789780165014,0.838888990868191,0.769068367056378,0.686811038807198,0.91363039382352,0.876870683343506,9
"phi10",NA,NA,0.786620279763258,0.701656547402204,0.929053667460429,0.898011289407035,10
"phi11",NA,NA,0.793258720175663,0.795831606004734,0.940542639652206,0.916524659323792,11
"phi12",NA,NA,0.807742963289614,NA,0.950164807897506,0.930403789416791,12
"phi13",NA,NA,NA,NA,0.956863449822915,0.940553590817399,13
"phi14",NA,NA,NA,NA,0.966043066177222,0.964596758750427,14
"phi15",NA,NA,NA,NA,0.960066813096155,0.927953708448203,15
"phi16",NA,NA,NA,NA,0.975000000000006,1,16
"phi17",NA,NA,NA,NA,1,0.928571428571427,17
"phi18",NA,NA,NA,NA,0.956521739130444,1,18
