Age,Mean_Eggs_Produced,Median_Eggs_Produced
8,17858.31818,16236
9,19196.99209,17391
10,20567.28341,18551
11,21929.43138,19704
12,23349.27315,20872
13,24775.18149,22051
14,26243.11248,23253
15,27685.86173,24417
16,29146.67551,25593
17,30671.10207,26770
18,32132.67734,27913
19,33675.71765,29107
20,35201.89751,30264
21,36758.49393,31421
22,38313.39299,32568
23,39869.34887,33715
24,41409.45236,34810
25,42992.58799,35958
26,44535.0314,36999
27,46151.90677,38157.5
28,47672.24944,39196
29,49359.17203,40263
30,50889.90798,41287
31,52537.71167,42378
32,54138.77826,43372
33,55773.74005,44454
34,57365.43091,45362
35,58985.373,46364
36,60526.52364,47267
37,62200.38703,48340
38,63870.55194,49211
39,65417.74469,50058
40,67086.64102,51030
41,68720.31556,51934
42,70346.88292,52692
43,71994.92799,53564
44,73619.96764,54426
45,75342.9278,55178
46,76795.54941,55889
47,78508.78342,56693
48,80057.3553,57402
49,81574.95831,58016
50,83282.14237,58835
51,85053.37023,59472
52,86523.36587,60202.5
53,88186.35925,60799
54,89790.52359,61470
55,91420.39048,61941
56,92923.74452,62680
57,94449.10539,63074
58,96010.70366,63580
59,97906.25591,64228
60,99150.91059,64733
61,100916.3,65211
