"Year","No.Act","Alt1","Alt.1a","Alt.1b","Alt.2","Alt.2a","Alt.2b"
1930,9900,9900,9900,24600,9900,9900,28800
1931,8000,8000,8000,7900,8000,8000,7500
1932,8000,8000,8000,8000,8000,8000,8000
1933,7700,7700,7700,7700,7700,7700,7700
1934,11200,11200,11200,11200,11200,11200,11200
1935,7500,7500,7500,7000,7500,7500,7000
1936,7000,7000,7000,7000,7000,7000,7000
1937,7000,7000,7000,7000,7000,7000,7000
1938,7000,7000,7000,7000,7000,7000,7000
1939,7000,7000,7000,7000,7000,7000,7000
1940,7000,7000,7000,7000,7000,7000,7000
1941,7000,7000,7000,7000,7000,7000,7000
1942,7500,7500,7500,7500,7500,7500,7500
1943,6200,6200,6200,6200,6200,6200,6200
1944,8500,8500,8500,8500,8500,8500,8500
1945,7300,7300,7300,7200,7300,7300,7300
1946,8100,8100,8100,8100,8100,8100,8100
1947,10800,10800,10800,22500,10800,10800,26548.7710823539
1948,9500,9500,9500,9500,9500,9500,9500
1949,9800,9800,9800,23200,9800,9800,27923.2311361614
1950,8500,8500,8500,8500,8500,8500,8500
1951,11900,11900,11900,11900,11900,11900,11900
1952,16500,16500,16500,16500,16500,16500,16500
1953,22500,17400,17400,15500,18300,21900,12500
1954,8600,22300,8500,21800,19432.462128631,18205.9426232417,19832.0824425174
1955,8300,8300,8300,8300,8300,8300,8300
1956,8400,8400,8400,8400,8400,8400,8400
1957,8900,8900,8900,8900,8900,8900,8900
1958,8900,8900,8900,8900,8900,8900,8900
1959,9300,9300,9300,9300,9300,9300,9300
1960,8200,8200,8200,8200,8200,8200,8200
1961,10500,10500,10500,10500,10500,10500,10500
1962,7000,7000,7000,7000,7000,7000,7000
1963,7500,7500,7500,7500,7500,7500,7500
1964,9000,9000,9000,9000,9000,9000,9000
1965,10300,10300,10300,10300,10300,10300,10300
1966,11800,24900,24600,25500,28400,28800,29000
1967,9000,22100,17300,15300,25300,23900,17600
1968,12900,30900,24800,24300,28800,29000,24600
1969,14200,14200,14300,14400,14300,14200,14400
1970,12500,11100,14600,11900,10800,14500,12000
1971,16200,16100,16100,16200,16100,16100,16200
1972,14300,14300,14300,14300,14300,14300,14300
1973,11000,11700,15100,11100,11200,14800,12400
1974,11500,11500,15400,11500,11200,21300,11300
1975,37000,36500,36500,37000,37000,36500,37000
1976,18700,18700,9500,18700,18700,14800,18700
1977,9300,8900,8900,9000,9300,9300,15992.842873926
1978,11800,11800,11800,11700,11500,11800,11400
1979,17000,17000,16600,16600,17000,17000,17000
1980,10500,25800,24300,26000,28500,27265.5126024224,28700
1981,9900,9900,9800,9800,9900,9900,9900
1982,9700,17100,21300,18600,23200,24573.779942649,22200
1983,11000,32900,24000,32700,28800,28200,29200
1984,11700,28900,24600,22000,29000,28800,23100
1985,11200,30900,24500,31100,28900,28700,29300
1986,8700,23900,20100,17600,26900,24600,21100
1987,8900,24500,24700,24600,28700,28900,28800
1988,9000,8300,8400,8400,7600,7600,7600
1989,9100,9100,9200,9100,9100,9100,9200
1990,8600,8600,8600,8600,8600,8600,8600
1991,8800,8800,8800,8800,8800,8800,8800
1992,9000,9000,9000,9000,9000,9000,9000
1993,6600,6600,6600,6600,6600,6600,6600
1994,9100,23200,22500,20800,9100,9100,23900
1995,8800,8500,8500,8500,8800,8800,8300
1996,16000,16000,16000,16000,16000,16000,16000
1997,24500,24500,24500,24000,24500,24500,24500
1998,11800,28100,24400,28000,28400,28600,28500
1999,12300,19900,12300,16400,24200,12300,15700
2000,10600,26699.5037092787,24000,26667.3662534809,25578.7193747956,19627.4182636941,22156.5040634271
2001,6100,6100,6100,6100,6100,6100,6100
2002,6600,6600,6500,6600,6600,6600,6600
2003,8000,8000,8000,8000,8000,8000,8000
2004,8900,8900,8900,8900,8900,8900,8900
2005,8000,8000,8000,8000,7900,7900,7900
2006,8800,8800,8800,8800,8800,8800,8800
2007,8000,8000,8000,8000,8000,8000,8000
2008,8300,8300,8300,8400,8400,8400,8400
2009,6100,6100,6100,6100,6100,6100,6100
2010,6400,6400,6400,6400,6400,6400,6400
2011,77000,77000,77000,77000,77000,77000,77000
2012,12300,30000,22800,23500,26400,27000,23900
