"Year","Alt1","Alt.1a","Alt.1b","Alt.2","Alt.2a","Alt.2b","No.Act","Weather_Pattern"
1949,"","","","","","06-24","","High"
1980,"","","","06-26","","06-26","","Median"
1980,"","","","","","07-02","","Median"
1983,"06-27","","","","","06-27","","Median"
1985,"06-27","","","","","06-27","","Median"
1985,"","","","","","07-03","","Median"
1987,"06-19","","","06-19","06-19","","","High"
1987,"","","","06-24","","","","High"
2011,"07-10","07-10","07-10","07-10","07-10","07-10","07-10","Low"
2011,"07-17","07-17","07-17","07-17","07-17","07-17","07-17","Low"
