"flow_scenario","E_time","time_80","param_id"
"1",78.261625,79,1
"1a",76.130375,77,1
"1b",81.57875,83,1
"2",78.774375,80,1
"2a",76.195375,77,1
"2b",80.46025,82,1
"NoAct",75.088875,76,1
"1",78.026,79,2
"1a",75.983,77,2
"1b",81.22575,83,2
"2",78.5185,80,2
"2a",76.046625,77,2
"2b",80.14525,82,2
"NoAct",74.98625,75,2
"1",78.511125,80,3
"1a",76.283875,77,3
"1b",81.91825,83,3
"2",79.017,81,3
"2a",76.353375,78,3
"2b",80.77875,83,3
"NoAct",75.203125,76,3
"1",85.05,88,4
"1a",80.4325,83,4
"1b",91.910625,96,4
"2",86.0105,89,4
"2a",80.567,83,4
"2b",89.520625,93,4
"NoAct",78.256875,81,4
"1",94.397875,100,5
"1a",85.937375,91,5
"1b",109.741,120,5
"2",96.347875,103,5
"2a",86.18525,92,5
"2b",104.05575,113,5
"NoAct",82.322125,87,5
"1",104.442125,114,6
"1a",91.183625,99,6
"1b",129.6965,145,6
"2",107.59325,119,6
"2a",91.525125,100,6
"2b",120.433625,134,6
"NoAct",85.919375,92,6
"1",115.085125,129,7
"1a",96.3305,108,7
"1b",152.021875,174,7
"2",119.491125,136,7
"2a",96.7875,108,7
"2b",137.978,157,7
"NoAct",89.375375,97,7
"1",126.322375,144,8
"1a",101.53325,116,8
"1b",177.701875,207,8
"2",131.826375,152,8
"2a",102.093,116,8
"2b",157.33025,182,8
"NoAct",92.779875,103,8
"1",138.007,160,9
"1a",106.66275,124,9
"1b",208.5385,248,9
"2",145.131625,170,9
"2a",107.31075,125,9
"2b",179.311375,212,9
"NoAct",96.1345,108,9
"1",150.6,176,10
"1a",111.73675,132,10
"1b",246.9555,300,10
"2",159.5555,190,10
"2a",112.5085,133,10
"2b",205.181,246,10
"NoAct",99.55575,113,10
"1",164.238125,195,11
"1a",116.70125,139,11
"1b",296.008125,367,11
"2",175.15075,211,11
"2a",117.67675,141,11
"2b",235.94975,287,11
"NoAct",103.006875,119,11
"1",179.1705,216,12
"1a",121.813125,147,12
"1b",-99,462,12
"2",192.711875,235,12
"2a",122.863,149,12
"2b",273.776625,341,12
"NoAct",106.350125,124,12
"1",195.457625,237,13
"1a",127.03075,156,13
"1b",-99,597,13
"2",212.787,264,13
"2a",128.177875,158,13
"2b",321.289875,409,13
"NoAct",109.636125,129,13
