"year","Alt1","Alt1a","Alt1b","Alt2","Alt2a","Alt2b","NoAct"
1947,"","","","","","0.842006973821928",""
1949,"","","","","","0.940217213597871",""
1966,"","","0.844639931949143","0.840190551193804","0.862222508796767","0.875310039713237",""
1968,"0.814308349472749","0.864176076823033","","0.813374714748227","0.84103777034263","",""
1975,"0.898880905750544","0.885723828117697","0.879271433468262","0.895838281920609","0.907371881164027","0.923070580641271","0.873260652112407"
1980,"0.816467921680649","","0.806919425413755","0.813575334750645","0.8376002508158","0.858154717846505",""
1983,"0.858246441745621","","0.864512686556811","0.833917342963412","0.879749001685666","0.887007988381598",""
1984,"0.846063430430216","","","0.847748467457509","0.879578931593031","",""
1985,"0.824596604905355","0.8002887225154","0.88908803569663","0.818497252751046","0.830398106872183","0.851591539411369",""
1986,"","","","0.890094282006903","","",""
1987,"","","","0.901160669207049","0.922802302409136","0.938819674197835",""
1998,"0.815863963998103","","0.833299782962216","0.812750706305259","0.857130451342598","0.908422679171654",""
2011,"0.816179768507448","0.801944738063426","0.825837500170802","0.824878319931837","0.828691972877441","0.842492892042743","0.789121543815213"
2012,"0.859554532851223","","","0.848890345758203","0.84110447159399","",""
